1333,2.80
426,2.00
1101,0.60
1102,1.20
787,1.40
1381,3.60
1402,3.00
192,14.00
193,12.20
1134,7.60
1368,3.40
1367,4.80
1369,2.80
150,5.20
151,4.40
137,7.20
138,8.40
135,22.80
143,8.00
53,20.40
140,16.40
136,14.20
142,8.80
149,6.40
812,3.40
660,1.80
775,0.40
649,3.20
667,8.00
656,5.80
156,2.00
214,0.80
995,0.60
1419,0.80
1420,0.80
1418,0.60
551,5.80
813,4.40
1308,0.60
1309,0.60
609,0.40
1310,0.60
859,9.00
1058,0.60
1056,0.60
1059,1.20
1060,0.40
1200,0.20
28,0.40
1397,2.20
911,0.80
1424,1.00
875,0.60
1202,1.40
297,0.60
252,13.00
1350,6.80
109,4.00
110,5.80
206,13.00
111,5.80
113,4.00
634,4.20
107,4.40
121,10.80
122,13.20
108,7.60
115,5.20
631,5.60
118,3.80
120,3.00
516,6.20
1436,1.80
1438,1.50
1241,0.80
1242,0.60
1268,1.00
1253,0.60
1262,0.60
1266,0.60
1218,1.80
1221,1.00
1265,0.60
1179,0.20
1239,0.20
1444,1.20
1443,1.00
1446,1.00
1216,0.80
1258,1.00
1261,0.40
1257,0.40
1259,0.60
865,0.80
864,0.80
267,1.00
869,1.00
265,1.20
861,1.00
261,15.80
862,1.20
264,4.20
863,0.80
867,0.80
1032,1.20
860,1.20
29,1.60
1428,7.80
31,4.40
1373,0.80
1376,1.00
1375,1.00
1374,0.80
989,2.60
990,2.40
974,5.40
976,0.60
796,0.80
977,1.00
978,0.80
982,2.60
983,0.60
987,1.60
820,0.60
823,1.20
821,0.80
926,0.60
928,0.80
1406,2.00
1409,2.60
1410,3.60
1404,2.00
507,4.00
1405,1.00
230,22.80
826,1.00
825,0.60
824,0.80
827,0.60
855,1.60
846,6.20
847,2.80
848,1.00
849,0.80
850,2.40
858,0.60
1045,1.20
1046,1.00
1041,1.00
1042,1.00
1043,0.60
1044,0.40
282,4.60
835,0.40
834,0.80
843,0.40
836,1.80
830,0.60
906,1.60
907,1.20
956,1.40
908,1.00
728,3.00
740,0.20
224,0.20
241,1.00
1229,2.40
1360,2.40
1302,0.60
1304,0.80
1306,1.00
1305,0.80
1303,0.60
1328,1.00
1329,1.00
1358,0.60
1359,0.60
1357,0.60
1300,2.20
1291,1.00
1289,0.80
1293,1.00
1230,1.00
1232,0.80
960,3.40
961,2.80
962,2.00
964,1.80
966,2.40
969,2.00
1343,1.40
897,1.00
672,8.40
896,0.60
898,2.00
797,2.60
887,2.60
1384,3.00
66,8.20
888,2.80
880,1.20
1385,1.20
881,1.20
890,1.40
886,0.60
1386,0.60
1341,0.60
1013,1.20
1016,1.40
1020,1.20
418,1.20
1018,1.40
1015,1.40
1019,1.20
24,3.20
712,0.80
1416,0.80
1249,1.40
1209,0.60
1207,0.80
1247,0.60
1206,1.00
912,0.60
1124,0.60
1125,0.60
1127,0.60
1128,0.80
1033,0.20
1034,0.80
1411,0.40
1413,0.60
1246,0.40
1036,1.60
1038,1.40
1275,0.20
1274,0.60
1037,0.60
1281,0.60
1273,1.00
1412,0.40
1321,0.10
1049,0.80
1414,0.40
1270,0.60
1276,0.80
1279,0.20
1039,1.40
1174,0.60
1166,0.20
1197,0.20
1173,0.60
1175,0.20
348,0.80
299,6.40
1398,2.20
1400,2.80
1354,3.40
1313,3.20
1317,3.40
1448,5.70
1318,3.60
1023,1.80
1327,1.40
1026,1.40
1021,2.00
1022,3.40
1024,1.60
1025,2.00
1326,1.80
1325,1.60
1324,1.60
1110,0.10
1222,0.20
